종목코드,종목명,날짜,비율
013570,디와이,20030411,0.1
015020,이스타코,20030425,0.1
008420,문배철강,20030425,0.2
002390,한독,20030430,0.1
004870,티웨이홀딩스,20030502,0.1
002630,오리엔트바이오,20030716,0.2
026960,동서,20030627,0.1
035250,강원랜드,20031103,0.1
003520,영진약품,20040304,0.5
001020,페이퍼코리아,20040402,10
004430,송원산업,20040419,0.1
008260,NI스틸,20040419,0.1
016580,환인제약,20040419,0.2
003220,대원제약,20040429,0.4
009160,SIMPAC,20040426,0.1
010580,지코,20040426,0.1
005420,코스모화학,20040504,10
000860,강남제비스코,20040430,0.2
018880,한온시스템,20040511,0.1
001450,현대해상,20040712,0.1
017550,수산중공업,20040714,0.1
016090,대현,20040713,0.1
003690,코리안리,20040719,0.1
001390,KG케미칼,20050111,10
004380,삼익THK,20050419,0.5
002920,유성기업,20050418,0.1
006200,한국전자홀딩스,20050426,0.1
002100,경농,20050427,0.2
003780,진양산업,20050628,0.2
001200,유진투자증권,20050704,0.2
016710,대성홀딩스,20051007,0.2
007110,일신석재,20051012,0.1
023150,MH에탄올,20051205,0.1
000220,유유제약,20060207,0.2
011000,진원생명과학,20060214,0.2
000060,메리츠화재,20060222,0.1
004720,우리들제약,20060309,0.1
003570,S&T중공업,20060404,5
067830,세이브존I&C,20060410,0.2
008490,서흥,20060414,0.5
027740,마니커,20060530,0.1
010420,한솔PNS,20060425,0.1
002620,제일파마홀딩스,20060425,0.1
003280,흥아해운,20060424,0.1
000520,삼일제약,20060421,0.2
025890,한국주강,20060428,0.1
006980,우성사료,20060428,0.1
027970,세하,20060503,0.2
011700,한신기계,20060508,0.1
010040,한국내화,20060428,0.5
005030,부산주공,20060502,0.1
019180,티에이치엔,20060504,0.5
009460,한창제지,20060511,0.1
030790,비케이탑스,20060503,0.1
009420,한올바이오파마,20060509,0.1
000400,롯데손해보험,20060516,0.2
027740,마니커,20060530,0.1
016450,한세예스24홀딩스,20060630,0.1
002720,국제약품,20060630,0.2
007570,일양약품,20060706,0.5
011000,진원생명과학,20060711,0.2
005320,국동,20060802,0.2
018500,동원금속,20060721,0.5
009810,엔케이물산,20070116,0.5
009440,KC그린홀딩스,20070212,0.1
071950,코아스,20070313,0.5
020120,키다리스튜디오,20070413,0.3
037270,YG PLUS,20070406,0.2
005870,휴니드,20070508,10
002100,경농,20070430,0.5
014160,대영포장,20070510,2.5
026940,부국철강,20070504,0.2
025820,이구산업,20070427,0.1
004770,써니전자,20070508,0.1
001620,케이비아이동국실업,20070430,0.1
009410,태영건설,20070502,0.1
010600,웰바이오텍,20070823,0.1
007630,폴루스바이오팜,20070829,0.2
001080,만호제강,20071107,0.2
003220,대원제약,20080104,0.5
002760,보락,20080211,0.2
001560,제일연마,20080227,0.5
002350,넥센타이어,20080320,0.1
004310,현대약품,20080327,0.1
021050,서원,20080415,0.1
012800,대창,20080415,0.1
014990,인디에프,20080423,0.1
001060,JW중외제약,20080506,0.5
005500,삼진제약,20080429,0.2
011280,태림포장,20080502,0.1
011500,한농화성,20080429,0.1
001780,알루코,20080507,0.5
010640,진양폴리,20080507,0.1
051630,진양화학,20080507,0.2
011090,에넥스,20080507,0.1
089470,HDC현대EP,20080502,0.1
009680,모토닉,20080508,0.1
002360,SH에너지화학,20080515,0.1
024890,대원화성,20080509,0.1
000430,대원강업,20080506,0.1
004140,동방,20080508,0.2
000910,유니온,20080506,0.1
015590,큐로,20080508,0.1
009270,신원,20080509,0.1
092200,디아이씨,20080513,0.1
084680,이월드,20080514,0.2
044450,KSS해운,20080509,0.1
009320,대우부품,20080519,0.1
068290,삼성출판사,20080604,0.1
008560,메리츠증권,20080707,0.2
010050,우리종금,20080715,0.1
001250,GS글로벌,20080825,0.5
101140,비티원,20080929,0.1
019680,대교,20081010,0.1
026940,부국철강,20081029,0.5
028670,팬오션,20081211,10
002210,동성제약,20081230,0.2
084010,대한제강,20090310,0.2
101060,SBS미디어홀딩스,20090410,0.1
004250,NPC,20090416,0.1
005360,모나미,20090507,0.2
002710,TCC스틸,20090507,0.2
001420,태원물산,20090721,0.1
000020,동화약품,20090717,0.2
020760,일진디스플,20090821,0.5
012610,경인양행,20090821,0.1
011330,유니켐,20091008,2
008350,남선알미늄,20091012,0.1
096760,JW홀딩스,20091102,0.2
005390,신성통상,20091113,0.1
004410,서울식품,20100211,0.5
016580,환인제약,20100423,0.5
003850,보령제약,20100428,0.5
006340,대원전선,20100506,0.1
011690,유양디앤유,20100507,0.1
083420,그린케미칼,20100510,0.1
008700,아남전자,20100503,0.1
000490,대동공업,20100514,0.2
030000,제일기획,20100507,0.04
001380,SG충방,20100512,0.1
005440,현대그린푸드,20100512,0.1
004060,SG세계물산,20100513,0.1
002070,남영비비안,20100512,0.2
011300,성안,20100513,0.1
011330,유니켐,20100517,0.5
102280,쌍방울,20100514,0.1
081000,일진다이아,20100906,0.2
006110,삼아알미늄,20110425,0.1
047400,유니온머티리얼,20110428,0.1
009450,경동나비엔,20110428,0.2
009580,무림P&P,20110503,0.5
003720,삼영화학,20110503,0.1
001790,대한제당,20110503,0.5
005250,녹십자홀딩스,20110503,0.1
134790,시디즈,20110516,0.5
002820,선창산업,20110511,0.2
009200,무림페이퍼,20110509,0.5
000230,일동홀딩스,20110511,0.2
005190,동성화학,20110511,0.2
008600,윌비스,20110516,0.2
102260,동성코퍼레이션,20110517,0.2
001020,페이퍼코리아,20110518,0.1
134380,미원화학,20110531,0.2
001200,유진투자증권,20110715,10
012160,영흥,20111109,0.1
021820,세원정공,20111110,0.1
005320,국동,20111205,5
005690,파미셀,20111216,0.1
000890,보해양조,20120104,0.1
018470,조일알미늄,20120503,0.1
007210,벽산,20120509,0.1
001340,백광산업,20120509,0.1
008930,한미사이언스,20120511,0.2
006060,화승인더,20120521,0.1
093230,이아이디,20121012,0.4
004920,씨아이테크,20121016,0.1
014820,동원시스템즈,20130125,10
068270,셀트리온,20130321,2
002140,고려산업,20130514,0.2
034310,NICE,20130516,0.1
007980,태평양물산,20130521,0.1
109070,컨버즈,20140106,0.3
009070,KCTC,20140512,0.1
024900,덕양산업,20141022,0.1
000700,유수홀딩스,20141223,0.5
011000,진원생명과학,20150211,5
037270,YG PLUS,20150216,0.5
006740,영풍제지,20150224,0.1
003670,포스코케미칼,20150430,0.1
002790,아모레G,20150507,0.1
090430,아모레퍼시픽,20150507,0.1
014580,태경비케이,20150512,0.1
129260,인터지스,20150512,0.5
004270,남성,20150521,0.1
007280,한국특수형강,20150521,0.1
145270,케이탑리츠,20151103,0.2
018880,한온시스템,20160215,0.2
002900,동양물산,20160429,0.1
000180,성창기업지주,20160510,0.1
003080,성보화학,20160512,0.1
004990,롯데지주,20160516,0.1
005740,크라운해태홀딩스,20160516,0.1
005720,넥센,20160519,0.1
012030,DB,20160517,0.1
014530,극동유화,20160513,0.1
103130,웅진에너지,20160829,10
161000,애경유화,20160905,0.1
000050,경방,20161027,0.1
095570,AJ네트웍스,20170116,0.2
042700,한미반도체,20170510,0.4
002870,신풍제지,20170510,0.1
138250,엔에스쇼핑,20170510,0.1
002760,보락,20170510,0.2
013520,화승알앤에이,20170517,0.1
003090,대웅,20170517,0.2
144620,코오롱머티리얼,20170517,0.2
013360,일성건설,20170517,0.1
107590,미원홀딩스,20170519,0.1
001800,오리온홀딩스,20170706,0.05
003580,넥스트사이언스,20170907,0.1
004990,롯데지주,20171027,0.4
004410,서울식품,20171024,0.04
002410,범양건영,20171205,0.2
025620,제이준코스메틱,20171218,2.5
001070,대한방직,20180117,0.2
234080,JW생명과학,20180424,0.5
003850,보령제약,20180427,0.2
